Mes,Periodo analizado,Periodo comparativo,% variación ,VI_NumPersonasDuranteNoche
Ene,1141467,1106568,"3,2 %","1,2 %"
Feb,1031241,974650,"5,8 %","5,1 %"
Mar,1258689,1246553,"1,0 %","-17,0 %"
Abr,2124224,1221368,"73,9 %","79,3 %"
May,1918769,1435183,"33,7 %","39,8 %"
Jun,2233649,2204435,"1,3 %","3,8 %"
Jul,3046847,3184166,"-4,3 %","-3,3 %"
Ago,3665640,3579418,"2,4 %","-0,2 %"
Sep,2180258,2134068,"2,2 %","5,8 %"
Oct,1975985,1792701,"10,2 %","6,2 %"
Nov,1364437,1237004,"10,3 %","11,3 %"
Dic,1117448,1180519,"-5,3 %","9,3 %"
