Provincia,Género,P. comparativo,P. analizado
Málaga,Desconocido,,"157,0 €"
Asturias,Desconocido,,"109,6 €"
Islas Baleares,Desconocido,,"79,6 €"
Araba/Álava,Hombre,"46,1 €","47,3 €"
Huesca,Hombre,"34,0 €","46,0 €"
Otras provincias,Hombre,"48,1 €","45,8 €"
Cuenca,Hombre,"42,0 €","45,7 €"
La Rioja,Hombre,"45,2 €","45,4 €"
Valladolid,Hombre,"39,9 €","43,4 €"
Otras provincias,Mujer,"50,3 €","43,2 €"
Segovia,Hombre,"30,2 €","43,2 €"
Teruel,Mujer,"29,6 €","42,9 €"
Bizkaia,Mujer,"41,9 €","41,8 €"
Huelva,Hombre,"37,4 €","41,6 €"
Burgos,Hombre,"49,9 €","41,5 €"
Teruel,Hombre,"61,6 €","41,2 €"
Bizkaia,Hombre,"31,1 €","41,1 €"
Navarra,Hombre,"25,4 €","40,7 €"
Toledo,Hombre,"32,9 €","39,9 €"
Málaga,Mujer,"32,7 €","39,7 €"
Málaga,Hombre,"31,8 €","39,3 €"
Guadalajara,Hombre,"32,5 €","39,0 €"
Madrid,Hombre,"35,6 €","39,0 €"
Cantabria,Mujer,"26,3 €","38,8 €"
Asturias,Hombre,"32,3 €","38,4 €"
Almería,Mujer,"25,8 €","38,3 €"
Navarra,Mujer,"19,9 €","38,0 €"
Guadalajara,Mujer,"35,0 €","37,5 €"
Cantabria,Hombre,"37,7 €","37,3 €"
La Rioja,Mujer,"25,9 €","37,1 €"
Palencia,Hombre,"33,1 €","36,8 €"
Ciudad Real,Hombre,"24,2 €","36,8 €"
Madrid,Mujer,"32,6 €","36,4 €"
Albacete,Mujer,"24,1 €","36,3 €"
Gipuzkoa,Hombre,"30,6 €","36,1 €"
Melilla,Hombre,"35,8 €","36,0 €"
Gipuzkoa,Mujer,"31,9 €","35,8 €"
Cuenca,Mujer,"32,1 €","35,6 €"
Melilla,Mujer,"37,4 €","35,6 €"
Huelva,Mujer,"31,7 €","35,1 €"
Ciudad Real,Mujer,"31,3 €","35,0 €"
León,Hombre,"21,5 €","34,8 €"
A Coruña,Hombre,"33,9 €","34,6 €"
Toledo,Mujer,"29,5 €","34,2 €"
Segovia,Mujer,"20,0 €","34,0 €"
Alicante/Alacant,Mujer,"33,9 €","33,8 €"
Ávila,Hombre,"24,5 €","33,8 €"
Zaragoza,Hombre,"29,4 €","33,2 €"
Alicante/Alacant,Hombre,"32,9 €","33,2 €"
Huesca,Mujer,"19,6 €","32,9 €"
Cáceres,Hombre,"28,3 €","32,9 €"
Valencia/València,Hombre,"31,8 €","32,7 €"
Valladolid,Mujer,"17,6 €","32,5 €"
Castellón/Castelló,Hombre,"27,4 €","32,3 €"
Ávila,Mujer,"13,1 €","31,7 €"
Soria,Hombre,"19,3 €","31,4 €"
Asturias,Mujer,"21,1 €","31,3 €"
Valencia/València,Mujer,"30,8 €","31,3 €"
Almería,Hombre,"24,0 €","31,2 €"
Zaragoza,Mujer,"28,2 €","31,1 €"
Murcia,Hombre,"32,9 €","31,0 €"
Burgos,Mujer,"22,9 €","31,0 €"
Soria,Mujer,"15,9 €","30,8 €"
Castellón/Castelló,Mujer,"31,7 €","30,4 €"
Araba/Álava,Mujer,"18,4 €","30,4 €"
Jaén,Hombre,"27,9 €","30,2 €"
Lugo,Hombre,"50,3 €","30,2 €"
Cádiz,Hombre,"23,4 €","29,5 €"
Lugo,Mujer,"26,4 €","29,4 €"
Granada,Hombre,"28,4 €","29,4 €"
Girona,Hombre,"36,6 €","29,1 €"
Madrid,Desconocido,"32,1 €","29,0 €"
Albacete,Hombre,"26,1 €","28,8 €"
Otras provincias,Desconocido,"45,0 €","28,7 €"
Granada,Mujer,"30,7 €","28,4 €"
Alicante/Alacant,Desconocido,"21,7 €","28,3 €"
Córdoba,Mujer,"20,7 €","28,1 €"
Jaén,Mujer,"31,6 €","28,0 €"
Lleida,Hombre,"38,6 €","27,9 €"
Sevilla,Hombre,"25,4 €","27,8 €"
A Coruña,Mujer,"22,9 €","27,5 €"
Zamora,Hombre,"31,2 €","27,5 €"
Valencia/València,Desconocido,"10,7 €","27,3 €"
Córdoba,Hombre,"24,7 €","26,7 €"
Sevilla,Mujer,"21,3 €","26,5 €"
Cádiz,Mujer,"19,5 €","26,5 €"
Murcia,Mujer,"23,5 €","26,2 €"
Cáceres,Mujer,"18,1 €","26,2 €"
Tarragona,Hombre,"32,6 €","26,1 €"
Tarragona,Mujer,"32,1 €","26,0 €"
Islas Baleares,Hombre,"28,6 €","25,8 €"
Pontevedra,Hombre,"23,1 €","25,7 €"
Barcelona,Hombre,"27,7 €","24,9 €"
León,Mujer,"19,9 €","24,5 €"
Lleida,Mujer,"26,2 €","24,4 €"
Girona,Mujer,"29,1 €","24,0 €"
Barcelona,Mujer,"23,2 €","23,3 €"
Islas Baleares,Mujer,"26,7 €","22,3 €"
Badajoz,Mujer,"10,8 €","21,5 €"
Ceuta,Hombre,"19,6 €","21,0 €"
Albacete,Desconocido,,"20,9 €"
Badajoz,Hombre,"15,5 €","20,8 €"
Ourense,Hombre,"13,4 €","20,7 €"
Palencia,Mujer,"15,3 €","20,1 €"
Barcelona,Desconocido,,"19,1 €"
Ceuta,Mujer,"18,9 €","18,5 €"
Ourense,Mujer,"16,0 €","17,7 €"
Santa Cruz de Tenerife,Mujer,"18,0 €","17,2 €"
Las Palmas,Mujer,"15,3 €","17,1 €"
Zamora,Mujer,"6,5 €","15,8 €"
Pontevedra,Mujer,"9,8 €","15,5 €"
Murcia,Desconocido,"16,0 €","13,6 €"
Las Palmas,Hombre,"14,2 €","12,8 €"
Santa Cruz de Tenerife,Hombre,"16,4 €","12,8 €"
Salamanca,Mujer,"8,8 €","11,8 €"
Salamanca,Hombre,"9,5 €","11,5 €"
Ciudad Real,Desconocido,,"6,6 €"
