"Periodo","Zona","Ámbito geográfico","Playas con Bandera Azul","Puertos Deportivos con Bandera Azul"
"2025","-","Comunitat Valenciana","143","19"
"2025","-","Provincia de Alicante","71","17"
"2025","-","La Marina Alta","17","6"
"2025","-","Zona Costa","15","5"
"2025","-","Zona Intermedia","2","1"
"2025","-","Zona Interior","",""
"2025","Zona Interior","l'Atzúbia","",""
"2025","Zona Interior","Alcalalí","",""
"2025","Zona Interior","Beniarbeig","",""
"2025","Zona Interior","Benigembla","",""
"2025","Zona Interior","Benidoleig","",""
"2025","Zona Interior","Benimeli","",""
"2025","Zona Intermedia","Benissa","2","1"
"2025","Zona Costa","Poble Nou de Benitatxell","1",""
"2025","Zona Costa","Calp","3","1"
"2025","Zona Interior","Castell de Castells","",""
"2025","Zona Costa","Dénia","7","2"
"2025","Zona Intermedia","Gata de Gorgos","",""
"2025","Zona Intermedia","Xaló","",""
"2025","Zona Costa","Xàbia/Jávea","2","1"
"2025","Zona Intermedia","Llíber","",""
"2025","Zona Interior","Murla","",""
"2025","Zona Intermedia","Ondara","",""
"2025","Zona Interior","Orba","",""
"2025","Zona Interior","Parcent","",""
"2025","Zona Intermedia","Pedreguer","",""
"2025","Zona Intermedia","Pego","",""
"2025","Zona Interior","el Ràfol d'Almúnia","",""
"2025","Zona Interior","Sagra","",""
"2025","Zona Interior","Sanet y Negrals","",""
"2025","Zona Intermedia","Senija","",""
"2025","Zona Costa","Teulada","2","1"
"2025","Zona Interior","Tormos","",""
"2025","Zona Interior","la Vall d'Alcalà","",""
"2025","Zona Interior","la Vall d'Ebo","",""
"2025","Zona Interior","la Vall de Gallinera","",""
"2025","Zona Interior","la Vall de Laguar","",""
"2025","Zona Intermedia","el Verger","",""
"2025","Zona Costa","els Poblets","",""
"2024","-","Comunitat Valenciana","138","19"
"2024","-","Provincia de Alicante","69","17"
"2024","-","La Marina Alta","16","6"
"2024","-","Zona Costa","14","5"
"2024","-","Zona Intermedia","2","1"
"2024","-","Zona Interior","",""
"2024","Zona Interior","l'Atzúbia","",""
"2024","Zona Interior","Alcalalí","",""
"2024","Zona Interior","Beniarbeig","",""
"2024","Zona Interior","Benigembla","",""
"2024","Zona Interior","Benidoleig","",""
"2024","Zona Interior","Benimeli","",""
"2024","Zona Intermedia","Benissa","2","1"
"2024","Zona Costa","Poble Nou de Benitatxell","1",""
"2024","Zona Costa","Calp","3","1"
"2024","Zona Interior","Castell de Castells","",""
"2024","Zona Costa","Dénia","6","2"
"2024","Zona Intermedia","Gata de Gorgos","",""
"2024","Zona Intermedia","Xaló","",""
"2024","Zona Costa","Xàbia/Jávea","2","1"
"2024","Zona Intermedia","Llíber","",""
"2024","Zona Interior","Murla","",""
"2024","Zona Intermedia","Ondara","",""
"2024","Zona Interior","Orba","",""
