"Año","Zona","Ámbito geográfico","Densidad Poblacional (Hab. / Km­²)","Nº Habitantes","Superficie (km²)"
"2025","-","Comunitat Valenciana","233,19","5.425.182","232.654.670,00"
"2025","-","Provincia de Alicante","349,51","2.033.566","58.182.940,00"
"2025","-","La Marina Alta","262,40","199.100","7.587.630,00"
"2025","-","Zona Costa","609,58","126.552","2.076.040,00"
"2025","-","Zona Intermedia","226,25","57.078","2.522.790,00"
"2025","-","Zona Interior","51,76","15.470","2.988.830,00"
"2025","Zona Interior","l'Atzúbia","40,97","601","146.700,00"
"2025","Zona Interior","Alcalalí","97,58","1.405","143.980,00"
"2025","Zona Interior","Beniarbeig","343,10","2.540","74.030,00"
"2025","Zona Interior","Benigembla","31,48","581","184.540,00"
"2025","Zona Interior","Benidoleig","170,23","1.274","74.840,00"
"2025","Zona Interior","Benimeli","137,15","474","34.560,00"
"2025","Zona Intermedia","Benissa","179,61","12.524","697.280,00"
"2025","Zona Costa","Poble Nou de Benitatxell","396,09","5.026","126.890,00"
"2025","Zona Costa","Calp","1.163,06","27.440","235.930,00"
"2025","Zona Interior","Castell de Castells","9,62","442","459.270,00"
"2025","Zona Costa","Dénia","716,37","47.568","664.010,00"
"2025","Zona Intermedia","Gata de Gorgos","334,53","6.804","203.390,00"
"2025","Zona Intermedia","Xaló","90,27","3.122","345.860,00"
"2025","Zona Costa","Xàbia/Jávea","447,18","30.817","689.140,00"
"2025","Zona Intermedia","Llíber","43,40","952","219.330,00"
"2025","Zona Interior","Murla","98,74","574","58.130,00"
"2025","Zona Intermedia","Ondara","744,25","7.729","103.850,00"
"2025","Zona Interior","Orba","135,48","2.402","177.300,00"
"2025","Zona Interior","Parcent","89,12","1.049","117.700,00"
"2025","Zona Intermedia","Pedreguer","298,98","8.843","295.770,00"
"2025","Zona Intermedia","Pego","205,35","10.852","528.470,00"
"2025","Zona Interior","el Ràfol d'Almúnia","151,80","742","48.880,00"
"2025","Zona Interior","Sagra","78,76","443","56.250,00"
"2025","Zona Interior","Sanet y Negrals","182,90","721","39.420,00"
"2025","Zona Intermedia","Senija","144,59","692","47.860,00"
"2025","Zona Costa","Teulada","400,06","12.932","323.250,00"
"2025","Zona Interior","Tormos","61,38","329","53.600,00"
