"Año","Zona","Ámbito geográfico","Sexo","Nacionalidad","Total Inmigraciones","Total Emigraciones","Saldo Migratorio"
"2024","-","Comunitat Valenciana","Totales","Total","411.614","295.872","115.742"
"2024","-","Comunitat Valenciana","Totales","Españoles","218.279","207.313","10.966"
"2024","-","Comunitat Valenciana","Totales","Extranjeros","193.335","88.559","104.776"
"2024","-","Comunitat Valenciana","Hombres","Total","210.351","149.719","60.632"
"2024","-","Comunitat Valenciana","Hombres","Españoles","109.298","103.722","5.576"
"2024","-","Comunitat Valenciana","Hombres","Extranjeros","101.053","45.997","55.056"
"2024","-","Comunitat Valenciana","Mujeres","Total","201.263","146.153","55.110"
"2024","-","Comunitat Valenciana","Mujeres","Españoles","108.981","103.591","5.390"
"2024","-","Comunitat Valenciana","Mujeres","Extranjeros","92.282","42.562","49.720"
"2024","-","Provincia de Alicante","Totales","Total","161.214","117.855","43.359"
"2024","-","Provincia de Alicante","Totales","Españoles","76.557","74.131","2.426"
"2024","-","Provincia de Alicante","Totales","Extranjeros","84.657","43.724","40.933"
"2024","-","Provincia de Alicante","Hombres","Total","82.759","59.436","23.323"
"2024","-","Provincia de Alicante","Hombres","Españoles","38.160","37.106","1.054"
"2024","-","Provincia de Alicante","Hombres","Extranjeros","44.599","22.330","22.269"
"2024","-","Provincia de Alicante","Mujeres","Total","78.455","58.419","20.036"
"2024","-","Provincia de Alicante","Mujeres","Españoles","38.397","37.025","1.372"
"2024","-","Provincia de Alicante","Mujeres","Extranjeros","40.058","21.394","18.664"
"2024","-","La Marina Alta","Totales","Total","19.040","15.537","3.503"
"2024","-","La Marina Alta","Totales","Españoles","8.170","8.627","-457"
"2024","-","La Marina Alta","Totales","Extranjeros","10.870","6.910","3.960"
"2024","-","La Marina Alta","Hombres","Total","9.648","7.614","2.034"
"2024","-","La Marina Alta","Hombres","Españoles","4.066","4.251","-185"
"2024","-","La Marina Alta","Hombres","Extranjeros","5.582","3.363","2.219"
"2024","-","La Marina Alta","Mujeres","Total","9.392","7.923","1.469"
"2024","-","La Marina Alta","Mujeres","Españoles","4.104","4.376","-272"
"2024","-","La Marina Alta","Mujeres","Extranjeros","5.288","3.547","1.741"
"2024","-","Zona Costa","Totales","Total","12.474","10.510","1.964"
"2024","-","Zona Costa","Totales","Españoles","4.411","5.380","-969"
"2024","-","Zona Costa","Totales","Extranjeros","8.063","5.130","2.933"
"2024","-","Zona Costa","Hombres","Total","6.291","5.152","1.139"
"2024","-","Zona Costa","Hombres","Españoles","2.174","2.667","-493"
"2024","-","Zona Costa","Hombres","Extranjeros","4.117","2.485","1.632"
"2024","-","Zona Costa","Mujeres","Total","6.183","5.358","825"
"2024","-","Zona Costa","Mujeres","Españoles","2.237","2.713","-476"
"2024","-","Zona Costa","Mujeres","Extranjeros","3.946","2.645","1.301"
"2024","-","Zona Intermedia","Totales","Total","5.039","3.819","1.220"
"2024","-","Zona Intermedia","Totales","Españoles","2.805","2.508","297"
"2024","-","Zona Intermedia","Totales","Extranjeros","2.234","1.311","923"
"2024","-","Zona Intermedia","Hombres","Total","2.578","1.903","675"
"2024","-","Zona Intermedia","Hombres","Españoles","1.427","1.249","178"
"2024","-","Zona Intermedia","Hombres","Extranjeros","1.151","654","497"
"2024","-","Zona Intermedia","Mujeres","Total","2.461","1.916","545"
"2024","-","Zona Intermedia","Mujeres","Españoles","1.378","1.259","119"
"2024","-","Zona Intermedia","Mujeres","Extranjeros","1.083","657","426"
"2024","-","Zona Interior","Totales","Total","1.527","1.208","319"
"2024","-","Zona Interior","Totales","Españoles","954","739","215"
"2024","-","Zona Interior","Totales","Extranjeros","573","469","104"
"2024","-","Zona Interior","Hombres","Total","779","559","220"
"2024","-","Zona Interior","Hombres","Españoles","465","335","130"
"2024","-","Zona Interior","Hombres","Extranjeros","314","224","90"
"2024","-","Zona Interior","Mujeres","Total","748","649","99"
"2024","-","Zona Interior","Mujeres","Españoles","489","404","85"
"2024","-","Zona Interior","Mujeres","Extranjeros","259","245","14"
"2024","Zona Interior","l'Atzúbia","Totales","Total","65","58","7"
"2024","Zona Interior","l'Atzúbia","Totales","Españoles","25","27","-2"
"2024","Zona Interior","l'Atzúbia","Totales","Extranjeros","40","31","9"
"2024","Zona Interior","l'Atzúbia","Hombres","Total","31","32","-1"
"2024","Zona Interior","l'Atzúbia","Hombres","Españoles","10","14","-4"
"2024","Zona Interior","l'Atzúbia","Hombres","Extranjeros","21","18","3"
"2024","Zona Interior","l'Atzúbia","Mujeres","Total","34","26","8"
"2024","Zona Interior","l'Atzúbia","Mujeres","Españoles","15","13","2"
"2024","Zona Interior","l'Atzúbia","Mujeres","Extranjeros","19","13","6"
"2024","Zona Interior","Alcalalí","Totales","Total","136","106","30"
"2024","Zona Interior","Alcalalí","Totales","Españoles","52","63","-11"
"2024","Zona Interior","Alcalalí","Totales","Extranjeros","84","43","41"
"2024","Zona Interior","Alcalalí","Hombres","Total","67","51","16"
"2024","Zona Interior","Alcalalí","Hombres","Españoles","23","30","-7"
"2024","Zona Interior","Alcalalí","Hombres","Extranjeros","44","21","23"
"2024","Zona Interior","Alcalalí","Mujeres","Total","69","55","14"
"2024","Zona Interior","Alcalalí","Mujeres","Españoles","29","33","-4"
"2024","Zona Interior","Alcalalí","Mujeres","Extranjeros","40","22","18"
"2024","Zona Interior","Beniarbeig","Totales","Total","312","206","106"
"2024","Zona Interior","Beniarbeig","Totales","Españoles","233","142","91"
"2024","Zona Interior","Beniarbeig","Totales","Extranjeros","79","64","15"
"2024","Zona Interior","Beniarbeig","Hombres","Total","158","102","56"
"2024","Zona Interior","Beniarbeig","Hombres","Españoles","112","67","45"
"2024","Zona Interior","Beniarbeig","Hombres","Extranjeros","46","35","11"
"2024","Zona Interior","Beniarbeig","Mujeres","Total","154","104","50"
"2024","Zona Interior","Beniarbeig","Mujeres","Españoles","121","75","46"
"2024","Zona Interior","Beniarbeig","Mujeres","Extranjeros","33","29","4"
"2024","Zona Interior","Benigembla","Totales","Total","62","45","17"
"2024","Zona Interior","Benigembla","Totales","Españoles","38","30","8"
"2024","Zona Interior","Benigembla","Totales","Extranjeros","24","15","9"
"2024","Zona Interior","Benigembla","Hombres","Total","29","16","13"
"2024","Zona Interior","Benigembla","Hombres","Españoles","19","11","8"
"2024","Zona Interior","Benigembla","Hombres","Extranjeros","10","5","5"
"2024","Zona Interior","Benigembla","Mujeres","Total","33","29","4"
"2024","Zona Interior","Benigembla","Mujeres","Españoles","19","19","0"
"2024","Zona Interior","Benigembla","Mujeres","Extranjeros","14","10","4"
"2024","Zona Interior","Benidoleig","Totales","Total","146","109","37"
