"Año","Zona","Ámbito geográfico","Número de asociaciones","Tasa de asociacionismo (‰)"
"2025","-","Comunitat Valenciana","89031","16,41"
"2025","-","Provincia de Alicante","30199","14,85"
"2025","-","La Marina Alta","3223","16,19"
"2025","-","Zona Costa","1762","13,92"
"2025","-","Zona Intermedia","1030","18,05"
"2025","-","Zona Interior","431","27,86"
"2025","Zona Interior","l'Atzúbia","26","43,26"
"2025","Zona Interior","Alcalalí","42","29,89"
"2025","Zona Interior","Beniarbeig","19","7,48"
"2025","Zona Interior","Benigembla","11","18,93"
"2025","Zona Interior","Benidoleig","40","31,40"
"2025","Zona Interior","Benimeli","12","25,32"
"2025","Zona Intermedia","Benissa","224","17,89"
"2025","Zona Costa","Poble Nou de Benitatxell","65","12,93"
"2025","Zona Costa","Calp","290","10,57"
"2025","Zona Interior","Castell de Castells","17","38,46"
"2025","Zona Costa","Dénia","722","15,18"
"2025","Zona Intermedia","Gata de Gorgos","103","15,14"
"2025","Zona Intermedia","Xaló","74","23,70"
"2025","Zona Costa","Xàbia/Jávea","443","14,38"
"2025","Zona Intermedia","Llíber","23","24,16"
"2025","Zona Interior","Murla","12","20,91"
"2025","Zona Intermedia","Ondara","111","14,36"
"2025","Zona Interior","Orba","58","24,15"
"2025","Zona Interior","Parcent","29","27,65"
"2025","Zona Intermedia","Pedreguer","143","16,17"
"2025","Zona Intermedia","Pego","232","21,38"
"2025","Zona Interior","el Ràfol d'Almúnia","20","26,95"
"2025","Zona Interior","Sagra","9","20,32"
"2025","Zona Interior","Sanet y Negrals","30","41,61"
"2025","Zona Intermedia","Senija","10","14,45"
"2025","Zona Costa","Teulada","193","14,92"
"2025","Zona Interior","Tormos","11","33,43"
"2025","Zona Interior","la Vall d'Alcalà","15","94,34"
"2025","Zona Interior","la Vall d'Ebo","13","56,28"
"2025","Zona Interior","la Vall de Gallinera","29","49,24"
"2025","Zona Interior","la Vall de Laguar","38","41,58"
"2025","Zona Intermedia","el Verger","110","19,78"
"2025","Zona Costa","els Poblets","49","17,70"
"2024","-","Comunitat Valenciana","86894","16,34"
"2024","-","Provincia de Alicante","29458","14,78"
"2024","-","La Marina Alta","3152","16,07"
"2024","-","Zona Costa","1725","13,82"
"2024","-","Zona Intermedia","1019","18,18"
"2024","-","Zona Interior","408","26,66"
"2024","Zona Interior","l'Atzúbia","22","36,85"
"2024","Zona Interior","Alcalalí","42","30,50"
"2024","Zona Interior","Beniarbeig","18","7,36"
"2024","Zona Interior","Benigembla","11","19,33"
"2024","Zona Interior","Benidoleig","36","28,99"
"2024","Zona Interior","Benimeli","12","26,37"
"2024","Zona Intermedia","Benissa","217","17,51"
"2024","Zona Costa","Poble Nou de Benitatxell","65","13,11"
"2024","Zona Costa","Calp","286","10,74"
"2024","Zona Interior","Castell de Castells","17","37,78"
"2024","Zona Costa","Dénia","706","14,97"
"2024","Zona Intermedia","Gata de Gorgos","103","15,39"
"2024","Zona Intermedia","Xaló","74","24,08"
"2024","Zona Costa","Xàbia/Jávea","426","13,98"
"2024","Zona Intermedia","Llíber","23","23,19"
"2024","Zona Interior","Murla","12","20,51"
"2024","Zona Intermedia","Ondara","109","14,52"
"2024","Zona Interior","Orba","49","20,31"
"2024","Zona Interior","Parcent","28","27,16"
"2024","Zona Intermedia","Pedreguer","142","16,37"
"2024","Zona Intermedia","Pego","231","21,65"
"2024","Zona Interior","el Ràfol d'Almúnia","19","26,43"
"2024","Zona Interior","Sagra","9","20,36"
"2024","Zona Interior","Sanet y Negrals","30","40,76"
"2024","Zona Intermedia","Senija","10","14,39"
"2024","Zona Costa","Teulada","193","15,01"
"2024","Zona Interior","Tormos","11","32,93"
"2024","Zona Interior","la Vall d'Alcalà","15","85,71"
"2024","Zona Interior","la Vall d'Ebo","13","55,79"
"2024","Zona Interior","la Vall de Gallinera","28","47,62"
"2024","Zona Interior","la Vall de Laguar","36","39,56"
"2024","Zona Intermedia","el Verger","110","20,61"
"2024","Zona Costa","els Poblets","49","18,01"
"2023","-","Comunitat Valenciana","84893","16,27"
"2023","-","Provincia de Alicante","28950","14,81"
"2023","-","La Marina Alta","3096","16,05"
"2023","-","Zona Costa","1692","13,82"
"2023","-","Zona Intermedia","1002","18,14"
"2023","-","Zona Interior","402","26,37"
"2023","Zona Interior","l'Atzúbia","22","35,20"
"2023","Zona Interior","Alcalalí","42","30,17"
"2023","Zona Interior","Beniarbeig","16","6,68"
"2023","Zona Interior","Benigembla","10","18,25"
"2023","Zona Interior","Benidoleig","35","28,11"
"2023","Zona Interior","Benimeli","12","26,32"
"2023","Zona Intermedia","Benissa","216","17,46"
"2023","Zona Costa","Poble Nou de Benitatxell","65","13,20"
"2023","Zona Costa","Calp","280","10,81"
"2023","Zona Interior","Castell de Castells","17","38,55"
"2023","Zona Costa","Dénia","696","15,17"
"2023","Zona Intermedia","Gata de Gorgos","100","15,20"
"2023","Zona Intermedia","Xaló","69","22,82"
"2023","Zona Costa","Xàbia/Jávea","418","13,82"
"2023","Zona Intermedia","Llíber","23","22,53"
"2023","Zona Interior","Murla","12","20,83"
"2023","Zona Intermedia","Ondara","107","14,61"
"2023","Zona Interior","Orba","48","19,77"
"2023","Zona Interior","Parcent","28","27,50"
"2023","Zona Intermedia","Pedreguer","140","16,34"
"2023","Zona Intermedia","Pego","226","21,49"
"2023","Zona Interior","el Ràfol d'Almúnia","19","25,96"
"2023","Zona Interior","Sagra","9","20,36"
"2023","Zona Interior","Sanet y Negrals","29","39,03"
"2023","Zona Intermedia","Senija","10","14,93"
"2023","Zona Costa","Teulada","184","14,58"
"2023","Zona Interior","Tormos","12","35,29"
"2023","Zona Interior","la Vall d'Alcalà","15","85,23"
"2023","Zona Interior","la Vall d'Ebo","13","56,52"
"2023","Zona Interior","la Vall de Gallinera","28","47,95"
"2023","Zona Interior","la Vall de Laguar","35","40,05"
"2023","Zona Intermedia","el Verger","111","21,51"
"2023","Zona Costa","els Poblets","49","17,54"
"2022","-","Comunitat Valenciana","81995","16,05"
"2022","-","Provincia de Alicante","27560","14,45"
"2022","-","La Marina Alta","3025","16,23"
"2022","-","Zona Costa","1660","14,11"
"2022","-","Zona Intermedia","978","18,16"
