"Año","Zona","Ámbito geográfico","Nº Restaurantes","Nº Plazas"
"2022","-","Comunitat Valenciana","14968","871430"
"2022","-","Provincia de Alicante","6811","342066"
"2022","-","La Marina Alta","1610","61987"
"2022","-","Zona Costa","1354","49972"
"2022","-","Zona Intermedia","195","8766"
"2022","-","Zona Interior","61","3249"
"2022","Zona Interior","l'Atzúbia","2","28"
"2022","Zona Interior","Alcalalí","9","660"
"2022","Zona Interior","Beniarbeig","2","78"
"2022","Zona Interior","Benigembla","2","48"
"2022","Zona Interior","Benidoleig","4","264"
"2022","Zona Interior","Benimeli","",""
"2022","Zona Intermedia","Benissa","65","2512"
"2022","Zona Costa","Poble Nou de Benitatxell","19","740"
"2022","Zona Costa","Calp","359","11934"
"2022","Zona Interior","Castell de Castells","2","142"
"2022","Zona Costa","Dénia","457","18255"
"2022","Zona Intermedia","Gata de Gorgos","13","556"
"2022","Zona Intermedia","Xaló","22","1004"
"2022","Zona Costa","Xàbia/Jávea","313","11911"
"2022","Zona Intermedia","Llíber","4","263"
"2022","Zona Interior","Murla","1","60"
"2022","Zona Intermedia","Ondara","32","1199"
"2022","Zona Interior","Orba","12","586"
"2022","Zona Interior","Parcent","9","524"
"2022","Zona Intermedia","Pedreguer","21","1663"
"2022","Zona Intermedia","Pego","17","702"
"2022","Zona Interior","el Ràfol d'Almúnia","",""
"2022","Zona Interior","Sagra","1","30"
"2022","Zona Interior","Sanet y Negrals","1","30"
"2022","Zona Intermedia","Senija","5","110"
"2022","Zona Costa","Teulada","190","6543"
"2022","Zona Interior","Tormos","1","180"
"2022","Zona Interior","la Vall d'Alcalà","3","156"
"2022","Zona Interior","la Vall d'Ebo","3","110"
"2022","Zona Interior","la Vall de Gallinera","4","189"
"2022","Zona Interior","la Vall de Laguar","5","164"
"2022","Zona Intermedia","el Verger","16","757"
"2022","Zona Costa","els Poblets","16","589"
"2021","-","Comunitat Valenciana","14952","869759"
"2021","-","Provincia de Alicante","6812","342122"
"2021","-","La Marina Alta","1611","62043"
"2021","-","Zona Costa","1355","50028"
"2021","-","Zona Intermedia","195","8766"
"2021","-","Zona Interior","61","3249"
"2021","Zona Interior","l'Atzúbia","2","28"
"2021","Zona Interior","Alcalalí","9","660"
"2021","Zona Interior","Beniarbeig","2","78"
"2021","Zona Interior","Benigembla","2","48"
"2021","Zona Interior","Benidoleig","4","264"
"2021","Zona Interior","Benimeli","",""
"2021","Zona Intermedia","Benissa","65","2512"
"2021","Zona Costa","Poble Nou de Benitatxell","20","796"
"2021","Zona Costa","Calp","359","11934"
"2021","Zona Interior","Castell de Castells","2","142"
"2021","Zona Costa","Dénia","457","18255"
"2021","Zona Intermedia","Gata de Gorgos","13","556"
"2021","Zona Intermedia","Xaló","22","1004"
"2021","Zona Costa","Xàbia/Jávea","313","11911"
"2021","Zona Intermedia","Llíber","4","263"
"2021","Zona Interior","Murla","1","60"
"2021","Zona Intermedia","Ondara","32","1199"
"2021","Zona Interior","Orba","12","586"
"2021","Zona Interior","Parcent","9","524"
"2021","Zona Intermedia","Pedreguer","21","1663"
"2021","Zona Intermedia","Pego","17","702"
"2021","Zona Interior","el Ràfol d'Almúnia","",""
"2021","Zona Interior","Sagra","1","30"
"2021","Zona Interior","Sanet y Negrals","1","30"
"2021","Zona Intermedia","Senija","5","110"
"2021","Zona Costa","Teulada","190","6543"
"2021","Zona Interior","Tormos","1","180"
"2021","Zona Interior","la Vall d'Alcalà","3","156"
"2021","Zona Interior","la Vall d'Ebo","3","110"
"2021","Zona Interior","la Vall de Gallinera","4","189"
"2021","Zona Interior","la Vall de Laguar","5","164"
"2021","Zona Intermedia","el Verger","16","757"
"2021","Zona Costa","els Poblets","16","589"
"2020","-","Comunitat Valenciana","14921","866716"
"2020","-","Provincia de Alicante","6812","342122"
"2020","-","La Marina Alta","1611","62043"
"2020","-","Zona Costa","1355","50028"
"2020","-","Zona Intermedia","195","8766"
"2020","-","Zona Interior","61","3249"
"2020","Zona Interior","l'Atzúbia","2","28"
"2020","Zona Interior","Alcalalí","9","660"
"2020","Zona Interior","Beniarbeig","2","78"
"2020","Zona Interior","Benigembla","2","48"
"2020","Zona Interior","Benidoleig","4","264"
"2020","Zona Interior","Benimeli","",""
"2020","Zona Intermedia","Benissa","65","2512"
"2020","Zona Costa","Poble Nou de Benitatxell","20","796"
"2020","Zona Costa","Calp","359","11934"
"2020","Zona Interior","Castell de Castells","2","142"
"2020","Zona Costa","Dénia","457","18255"
