"Año","Zona","Ámbito geográfico","Gasto total (€/hab.)","Gastos de personal (€/hab.)","Gastos corrientes en bienes y servicios (€/hab.)","Gastos financieros (€/hab.)","Transferencias corrientes (€/hab.)","Fondo de contingencia y otros imprevistos (€/hab.)","Inversión real (€/hab.)","Transferencias de capital (€/hab.)","Activos financieros (€/hab.)","Pasivos financieros (€/hab.)"
"2025","-","Comunitat Valenciana","1220","474","458","9","97","9","135","13","2","23"
"2025","-","Provincia de Alicante","1190","468","484","8","89","5","111","6","3","16"
"2025","-","La Marina Alta","1255","470","502","4","172","6","93","4","","5"
"2025","-","Zona Costa","1939","677","716","5","178","1","348","8","","7"
"2025","-","Zona Intermedia","1262","511","460","4","196","5","74","7","","5"
"2025","-","Zona Interior","1023","380","452","4","157","7","17","1","","4"
"2025","Zona Interior","l'Atzúbia","1213","422","670","3","32","5","81","","",""
"2025","Zona Interior","Alcalalí","767","239","292","1","234","1","","","",""
"2025","Zona Interior","Beniarbeig","811","421","296","2","88","","2","","2",""
"2025","Zona Interior","Benigembla","","","","","","","","","",""
"2025","Zona Interior","Benidoleig","1092","369","526","2","132","62","","","",""
"2025","Zona Interior","Benimeli","905","406","317","4","174","5","","","",""
"2025","Zona Intermedia","Benissa","1693","664","432","1","514","","61","21","",""
"2025","Zona Costa","Poble Nou de Benitatxell","1873","570","1152","8","72","","57","11","","3"
"2025","Zona Costa","Calp","1988","755","613","4","143","","471","2","1",""
"2025","Zona Interior","Castell de Castells","866","362","319","","122","23","37","4","",""
"2025","Zona Costa","Dénia","1710","650","675","4","167","2","173","2","","36"
"2025","Zona Intermedia","Gata de Gorgos","947","427","388","3","80","5","18","26","",""
"2025","Zona Intermedia","Xaló","1180","444","479","5","160","12","70","7","","3"
"2025","Zona Costa","Xàbia/Jávea","1530","658","732","5","116","","20","","",""
"2025","Zona Intermedia","Llíber","1331","458","499","4","360","11","","","",""
"2025","Zona Interior","Murla","1141","283","629","4","220","","5","","",""
"2025","Zona Intermedia","Ondara","1329","407","600","1","108","19","191","","1","2"
"2025","Zona Interior","Orba","1043","416","284","12","204","13","68","","","46"
"2025","Zona Interior","Parcent","1040","421","419","1","178","","13","8","",""
"2025","Zona Intermedia","Pedreguer","1266","528","387","3","121","","222","","","5"
"2025","Zona Intermedia","Pego","1215","583","423","11","140","","17","5","","37"
"2025","Zona Interior","el Ràfol d'Almúnia","1104","304","555","2","233","","","10","",""
"2025","Zona Interior","Sagra","964","335","411","","204","","14","","",""
"2025","Zona Interior","Sanet y Negrals","913","288","415","5","201","","4","","",""
"2025","Zona Intermedia","Senija","1210","523","451","10","211","","16","","",""
"2025","Zona Costa","Teulada","1842","726","535","1","466","4","104","6","",""
"2025","Zona Interior","Tormos","1624","632","673","","304","15","","","",""
"2025","Zona Interior","la Vall d'Alcalà","1191","352","634","6","160","3","35","","",""
"2025","Zona Interior","la Vall d'Ebo","1270","578","497","9","182","","4","","",""
"2025","Zona Interior","la Vall de Gallinera","1418","690","613","22","28","5","33","","","27"
"2025","Zona Interior","la Vall de Laguar","1055","322","592","1","136","1","3","","",""
