"Año","Zona","Ámbito geográfico","Tipo Residuo","Toneladas Recogidas","Nº Contenedores","Nº Habitantes / Contenedor","Nº Kgs. Recogidos / Habitante"
"2025","-","La Marina Alta","Totales","105.406,8","8.577","23","529,42"
"2025","-","La Marina Alta","Papel o Cartón","6.840,0","1.297","153","34,35"
"2025","-","La Marina Alta","Plástico","5.596,9","1.323","150","28,11"
"2025","-","La Marina Alta","Vidrio","8.382,3","1.487","133","42,10"
"2025","-","La Marina Alta","No selectiva","83.294,1","4.084","48","418,35"
"2025","-","La Marina Alta","Orgánica","1.293,5","386","515","6,50"
"2025","-","Zona Costa","Totales","77.426,5","5.708","22","611,82"
"2025","-","Zona Costa","Papel o Cartón","4.423,0","772","163","34,95"
"2025","-","Zona Costa","Plástico","4.076,3","799","158","32,21"
"2025","-","Zona Costa","Vidrio","6.342,9","1.009","125","50,12"
"2025","-","Zona Costa","No selectiva","62.029,6","2.776","45","490,15"
"2025","-","Zona Costa","Orgánica","554,7","352","359","4,38"
"2025","-","Zona Intermedia","Totales","22.421,5","2.172","26","392,82"
"2025","-","Zona Intermedia","Papel o Cartón","1.917,4","374","152","33,59"
"2025","-","Zona Intermedia","Plástico","1.113,3","377","151","19,50"
"2025","-","Zona Intermedia","Vidrio","1.500,8","354","161","26,29"
"2025","-","Zona Intermedia","No selectiva","17.427,7","1.055","54","305,33"
"2025","-","Zona Intermedia","Orgánica","462,3","12","4","8,10"
"2025","-","Zona Interior","Totales","5.558,8","697","22","359,33"
"2025","-","Zona Interior","Papel o Cartón","499,6","151","102","32,29"
"2025","-","Zona Interior","Plástico","407,3","147","105","26,33"
"2025","-","Zona Interior","Vidrio","538,6","124","124","34,82"
"2025","-","Zona Interior","No selectiva","3.836,8","253","61","248,02"
"2025","-","Zona Interior","Orgánica","276,5","22","703","17,87"
"2025","Zona Interior","l'Atzúbia","Totales","260,9","55","10","434,11"
"2025","Zona Interior","l'Atzúbia","Papel o Cartón","34,1","9","66","56,74"
"2025","Zona Interior","l'Atzúbia","Plástico","15,0","7","85","24,96"
"2025","Zona Interior","l'Atzúbia","Vidrio","28,1","6","100","46,76"
"2025","Zona Interior","l'Atzúbia","No selectiva","150,9","21","28","251,08"
"2025","Zona Interior","l'Atzúbia","Orgánica","32,8","12","50","54,58"
"2025","Zona Interior","Alcalalí","Totales","519,0","88","15","369,40"
"2025","Zona Interior","Alcalalí","Papel o Cartón","16,2","18","78","11,53"
"2025","Zona Interior","Alcalalí","Plástico","18,9","23","61","13,45"
"2025","Zona Interior","Alcalalí","Vidrio","59,0","20","70","41,99"
"2025","Zona Interior","Alcalalí","No selectiva","424,9","27","52","302,42"
"2025","Zona Interior","Beniarbeig","Totales","1.052,8","105","24","414,49"
"2025","Zona Interior","Beniarbeig","Papel o Cartón","152,4","27","94","60,00"
"2025","Zona Interior","Beniarbeig","Plástico","61,2","24","105","24,09"
"2025","Zona Interior","Beniarbeig","Vidrio","87,5","19","133","34,45"
"2025","Zona Interior","Beniarbeig","No selectiva","728,1","34","74","286,65"
"2025","Zona Interior","Beniarbeig","Orgánica","23,6","1","2","9,29"
"2025","Zona Interior","Benigembla","Totales","178,0","27","21","306,37"
"2025","Zona Interior","Benigembla","Papel o Cartón","6,0","5","116","10,33"
"2025","Zona Interior","Benigembla","Plástico","5,3","5","116","9,12"
"2025","Zona Interior","Benigembla","Vidrio","16,8","3","193","28,92"
"2025","Zona Interior","Benigembla","No selectiva","149,9","14","41","258,00"
"2025","Zona Interior","Benidoleig","Totales","443,4","44","28","348,04"
"2025","Zona Interior","Benidoleig","Papel o Cartón","52,3","13","98","41,05"
"2025","Zona Interior","Benidoleig","Plástico","28,3","11","115","22,21"
"2025","Zona Interior","Benidoleig","Vidrio","40,7","8","159","31,95"
"2025","Zona Interior","Benidoleig","No selectiva","322,1","12","106","252,83"
"2025","Zona Interior","Benimeli","Totales","149,1","15","31","314,56"
"2025","Zona Interior","Benimeli","Papel o Cartón","9,7","3","158","20,46"
"2025","Zona Interior","Benimeli","Plástico","9,6","3","158","20,25"
"2025","Zona Interior","Benimeli","Vidrio","10,4","3","158","21,94"
"2025","Zona Interior","Benimeli","No selectiva","119,4","6","79","251,90"
"2025","Zona Intermedia","Benissa","Totales","5.873,6","497","25","468,99"
"2025","Zona Intermedia","Benissa","Papel o Cartón","363,6","80","156","29,03"
"2025","Zona Intermedia","Benissa","Plástico","208,8","99","126","16,67"
"2025","Zona Intermedia","Benissa","Vidrio","487,5","91","137","38,93"
"2025","Zona Intermedia","Benissa","No selectiva","4.779,7","219","57","381,64"
"2025","Zona Intermedia","Benissa","Orgánica","34,0","8","1","2,71"
"2025","Zona Costa","Poble Nou de Benitatxell","Totales","2.355,5","0","0","468,66"
"2025","Zona Costa","Poble Nou de Benitatxell","Papel o Cartón","163,2","","0","32,47"
"2025","Zona Costa","Poble Nou de Benitatxell","Plástico","145,5","","0","28,95"
"2025","Zona Costa","Poble Nou de Benitatxell","Vidrio","203,8","","0","40,55"
"2025","Zona Costa","Poble Nou de Benitatxell","No selectiva","1.790,2","","0","356,19"
"2025","Zona Costa","Poble Nou de Benitatxell","Orgánica","52,8","","0","10,51"
"2025","Zona Costa","Calp","Totales","18.890,7","1.827","15","688,44"
"2025","Zona Costa","Calp","Papel o Cartón","670,9","66","415","24,45"
"2025","Zona Costa","Calp","Plástico","747,4","95","288","27,24"
"2025","Zona Costa","Calp","Vidrio","1.360,0","249","110","49,56"
"2025","Zona Costa","Calp","No selectiva","16.102,9","1.116","24","586,84"
"2025","Zona Costa","Calp","Orgánica","9,5","301","91","0,35"
"2025","Zona Interior","Castell de Castells","Totales","154,0","17","26","348,42"
"2025","Zona Interior","Castell de Castells","Papel o Cartón","6,7","4","110","15,16"
"2025","Zona Interior","Castell de Castells","Plástico","12,2","4","110","27,60"
"2025","Zona Interior","Castell de Castells","Vidrio","17,8","2","221","40,27"
"2025","Zona Interior","Castell de Castells","No selectiva","117,3","7","63","265,38"
"2025","Zona Costa","Dénia","Totales","27.141,0","2.127","22","570,57"
"2025","Zona Costa","Dénia","Papel o Cartón","1.136,4","354","134","23,89"
"2025","Zona Costa","Dénia","Plástico","1.382,1","354","134","29,06"
"2025","Zona Costa","Dénia","Vidrio","1.807,6","379","125","38,00"
"2025","Zona Costa","Dénia","No selectiva","22.673,8","1.040","45","476,66"
"2025","Zona Costa","Dénia","Orgánica","141,1","","0","2,97"
"2025","Zona Intermedia","Gata de Gorgos","Totales","2.379,2","238","28","349,68"
"2025","Zona Intermedia","Gata de Gorgos","Papel o Cartón","288,1","50","136","42,34"
"2025","Zona Intermedia","Gata de Gorgos","Plástico","116,8","49","138","17,17"
"2025","Zona Intermedia","Gata de Gorgos","Vidrio","159,7","38","179","23,47"
"2025","Zona Intermedia","Gata de Gorgos","No selectiva","1.767,8","101","67","259,82"
"2025","Zona Intermedia","Gata de Gorgos","Orgánica","46,8","","0","6,88"
"2025","Zona Intermedia","Xaló","Totales","1.012,6","143","21","324,34"
"2025","Zona Intermedia","Xaló","Papel o Cartón","59,9","17","183","19,19"
"2025","Zona Intermedia","Xaló","Plástico","29,9","17","183","9,58"
"2025","Zona Intermedia","Xaló","Vidrio","82,9","18","173","26,55"
"2025","Zona Intermedia","Xaló","No selectiva","839,9","91","34","269,03"
"2025","Zona Costa","Xàbia/Jávea","Totales","19.205,5","1.011","30","623,21"
"2025","Zona Costa","Xàbia/Jávea","Papel o Cartón","1.720,9","226","136","55,84"
"2025","Zona Costa","Xàbia/Jávea","Plástico","1.183,1","209","147","38,39"
"2025","Zona Costa","Xàbia/Jávea","Vidrio","1.856,2","240","128","60,23"
"2025","Zona Costa","Xàbia/Jávea","No selectiva","14.309,6","306","100","464,34"
"2025","Zona Costa","Xàbia/Jávea","Orgánica","135,7","30","1","4,40"
"2025","Zona Intermedia","Llíber","Totales","151,4","32","29","159,03"
"2025","Zona Intermedia","Llíber","Papel o Cartón","9,0","4","238","9,45"
"2025","Zona Intermedia","Llíber","Plástico","8,6","6","158","9,03"
"2025","Zona Intermedia","Llíber","Vidrio","18,6","6","158","19,54"
"2025","Zona Intermedia","Llíber","No selectiva","115,2","16","59","121,01"
"2025","Zona Interior","Murla","Totales","128,5","12","47","223,87"
"2025","Zona Interior","Murla","Papel o Cartón","5,6","2","287","9,76"
"2025","Zona Interior","Murla","Plástico","8,7","2","287","15,16"
"2025","Zona Interior","Murla","Vidrio","18,0","3","191","31,36"
"2025","Zona Interior","Murla","No selectiva","96,2","5","114","167,60"
"2025","Zona Intermedia","Ondara","Totales","3.583,0","179","43","463,58"
"2025","Zona Intermedia","Ondara","Papel o Cartón","337,1","38","203","43,61"
"2025","Zona Intermedia","Ondara","Plástico","208,6","38","203","26,99"
"2025","Zona Intermedia","Ondara","Vidrio","156,2","42","184","20,21"
"2025","Zona Intermedia","Ondara","No selectiva","2.859,5","61","126","369,97"
"2025","Zona Intermedia","Ondara","Orgánica","21,6","","0","2,79"
"2025","Zona Interior","Orba","Totales","747,5","9","266","311,20"
"2025","Zona Interior","Orba","Papel o Cartón","82,5","","0","34,35"
"2025","Zona Interior","Orba","Plástico","117,4","","0","48,88"
"2025","Zona Interior","Orba","Vidrio","93,7","","0","39,01"
"2025","Zona Interior","Orba","No selectiva","233,8","","0","97,34"
"2025","Zona Interior","Orba","Orgánica","220,1","9","266","91,63"
"2025","Zona Interior","Parcent","Totales","317,2","54","19","302,38"
"2025","Zona Interior","Parcent","Papel o Cartón","16,6","6","174","15,82"
"2025","Zona Interior","Parcent","Plástico","14,1","5","209","13,44"
"2025","Zona Interior","Parcent","Vidrio","33,2","7","149","31,65"
"2025","Zona Interior","Parcent","No selectiva","253,3","36","29","241,47"
"2025","Zona Intermedia","Pedreguer","Totales","2.466,3","220","40","278,90"
"2025","Zona Intermedia","Pedreguer","Papel o Cartón","299,2","38","232","33,83"
"2025","Zona Intermedia","Pedreguer","Plástico","258,0","29","304","29,18"
"2025","Zona Intermedia","Pedreguer","Vidrio","205,3","30","294","23,22"
"2025","Zona Intermedia","Pedreguer","No selectiva","1.343,9","119","74","151,97"
"2025","Zona Intermedia","Pedreguer","Orgánica","359,9","4","2","40,70"
"2025","Zona Intermedia","Pego","Totales","4.256,8","530","20","392,26"
"2025","Zona Intermedia","Pego","Papel o Cartón","231,7","88","123","21,35"
"2025","Zona Intermedia","Pego","Plástico","147,6","81","133","13,60"
"2025","Zona Intermedia","Pego","Vidrio","260,1","83","130","23,97"
"2025","Zona Intermedia","Pego","No selectiva","3.617,4","278","39","333,34"
"2025","Zona Interior","el Ràfol d'Almúnia","Totales","276,1","33","22","372,10"
"2025","Zona Interior","el Ràfol d'Almúnia","Papel o Cartón","16,7","9","82","22,51"
"2025","Zona Interior","el Ràfol d'Almúnia","Plástico","16,6","9","82","22,37"
"2025","Zona Interior","el Ràfol d'Almúnia","Vidrio","17,0","6","123","22,91"
"2025","Zona Interior","el Ràfol d'Almúnia","No selectiva","225,8","9","82","304,31"
"2025","Zona Interior","Sagra","Totales","174,9","14","31","394,81"
"2025","Zona Interior","Sagra","Papel o Cartón","10,3","4","110","23,25"
"2025","Zona Interior","Sagra","Plástico","10,2","4","110","23,02"
"2025","Zona Interior","Sagra","Vidrio","16,2","3","147","36,57"
"2025","Zona Interior","Sagra","No selectiva","138,2","3","147","311,96"
"2025","Zona Interior","Sanet y Negrals","Totales","225,6","19","37","312,90"
"2025","Zona Interior","Sanet y Negrals","Papel o Cartón","12,4","4","180","17,20"
"2025","Zona Interior","Sanet y Negrals","Plástico","12,3","4","180","17,06"
"2025","Zona Interior","Sanet y Negrals","Vidrio","15,2","4","180","21,08"
"2025","Zona Interior","Sanet y Negrals","No selectiva","185,7","7","103","257,56"
"2025","Zona Intermedia","Senija","Totales","196,9","35","19","284,54"
"2025","Zona Intermedia","Senija","Papel o Cartón","8,1","2","346","11,71"
"2025","Zona Intermedia","Senija","Plástico","13,7","4","173","19,80"
"2025","Zona Intermedia","Senija","Vidrio","15,4","5","138","22,25"
"2025","Zona Intermedia","Senija","No selectiva","159,7","24","28","230,78"
"2025","Zona Costa","Teulada","Totales","9.152,0","641","20","707,70"
"2025","Zona Costa","Teulada","Papel o Cartón","696,7","117","110","53,87"
"2025","Zona Costa","Teulada","Plástico","554,0","114","113","42,84"
"2025","Zona Costa","Teulada","Vidrio","1.058,1","128","101","81,82"
"2025","Zona Costa","Teulada","No selectiva","6.632,9","261","49","512,91"
"2025","Zona Costa","Teulada","Orgánica","210,3","21","615","16,26"
"2025","Zona Interior","Tormos","Totales","103,2","11","29","313,68"
"2025","Zona Interior","Tormos","Papel o Cartón","6,7","2","164","20,36"
"2025","Zona Interior","Tormos","Plástico","6,6","2","164","20,06"
"2025","Zona Interior","Tormos","Vidrio","14,3","2","164","43,47"
"2025","Zona Interior","Tormos","No selectiva","75,6","5","65","229,79"
"2025","Zona Interior","la Vall d'Alcalà","Totales","72,8","22","7","457,86"
"2025","Zona Interior","la Vall d'Alcalà","Papel o Cartón","2,7","6","26","16,98"
"2025","Zona Interior","la Vall d'Alcalà","Plástico","4,9","6","26","30,82"
"2025","Zona Interior","la Vall d'Alcalà","Vidrio","6,1","4","39","38,36"
"2025","Zona Interior","la Vall d'Alcalà","No selectiva","59,1","6","26","371,70"
"2025","Zona Interior","la Vall d'Ebo","Totales","98,3","21","11","425,54"
"2025","Zona Interior","la Vall d'Ebo","Papel o Cartón","3,7","5","46","16,02"
"2025","Zona Interior","la Vall d'Ebo","Plástico","6,7","5","46","29,00"
"2025","Zona Interior","la Vall d'Ebo","Vidrio","10,0","3","77","43,29"
"2025","Zona Interior","la Vall d'Ebo","No selectiva","77,9","8","28","337,23"
"2025","Zona Interior","la Vall de Gallinera","Totales","279,3","78","7","474,19"
"2025","Zona Interior","la Vall de Gallinera","Papel o Cartón","35,8","12","49","60,78"
"2025","Zona Interior","la Vall de Gallinera","Plástico","22,4","11","53","38,03"
"2025","Zona Interior","la Vall de Gallinera","Vidrio","28,1","22","26","47,71"
